Frequency,JPEG_Quality,PSNR,SSIM,NC
High,10,33.625477194604144,0.870996338379226,-0.006022135416666667
High,30,33.625477194604144,0.870996338379226,-0.0087890625
High,50,33.625477194604144,0.870996338379226,0.013834635416666666
High,70,33.625477194604144,0.870996338379226,0.9557291666666666
High,90,33.625477194604144,0.870996338379226,1.0
Low,10,33.530641225528626,0.8871841792042363,0.9934895833333334
Low,30,33.530641225528626,0.8871841792042363,1.0
Low,50,33.530641225528626,0.8871841792042363,1.0
Low,70,33.530641225528626,0.8871841792042363,1.0
Low,90,33.530641225528626,0.8871841792042363,1.0
Mid,10,33.529389355601346,0.8678209942630232,-0.0008138020833333334
Mid,30,33.529389355601346,0.8678209942630232,0.19807942708333334
Mid,50,33.529389355601346,0.8678209942630232,0.98681640625
Mid,70,33.529389355601346,0.8678209942630232,1.0
Mid,90,33.529389355601346,0.8678209942630232,1.0
